<<<<<<< HEAD
Image,Location,Class,Glioma,Meningioma,Pituitary,NoTumor
Tr-glTr_0000.jpg,"(84.36, 84.1)",Glioma,True,False,False,False
Tr-glTr_0001.jpg,"(54.2, 61.41)",Glioma,True,False,False,False
Tr-glTr_0002.jpg,"(87.38, 94.86)",Glioma,True,False,False,False
Tr-glTr_0003.jpg,"(62.16, 17.39)",Glioma,True,False,False,False
Tr-glTr_0004.jpg,"(70.41, 9.26)",Glioma,True,False,False,False
Tr-glTr_0005.jpg,"(69.06, 69.04)",Glioma,True,False,False,False
Tr-glTr_0006.jpg,"(90.74, 24.95)",Glioma,True,False,False,False
Tr-glTr_0007.jpg,"(26.84, 71.05)",Glioma,True,False,False,False
Tr-glTr_0008.jpg,"(31.8, 7.41)",Glioma,True,False,False,False
Tr-glTr_0009.jpg,"(79.48, 45.91)",Glioma,True,False,False,False
Tr-gl_0010.jpg,"(1.72, 1.48)",Glioma,True,False,False,False
Tr-gl_0011.jpg,"(92.28, 3.85)",Glioma,True,False,False,False
Tr-gl_0012.jpg,"(95.74, 11.13)",Glioma,True,False,False,False
Tr-gl_0013.jpg,"(86.78, 24.53)",Glioma,True,False,False,False
Tr-gl_0014.jpg,"(48.73, 9.95)",Glioma,True,False,False,False
Tr-gl_0015.jpg,"(73.66, 69.72)",Glioma,True,False,False,False
Tr-gl_0016.jpg,"(35.23, 36.24)",Glioma,True,False,False,False
Tr-gl_0017.jpg,"(0.01, 22.07)",Glioma,True,False,False,False
Tr-gl_0018.jpg,"(56.54, 99.09)",Glioma,True,False,False,False
Tr-gl_0019.jpg,"(76.84, 15.81)",Glioma,True,False,False,False
Tr-gl_0020.jpg,"(62.63, 52.94)",Glioma,True,False,False,False
Tr-gl_0021.jpg,"(44.06, 52.21)",Glioma,True,False,False,False
Tr-gl_0022.jpg,"(93.73, 67.72)",Glioma,True,False,False,False
Tr-gl_0023.jpg,"(80.1, 90.24)",Glioma,True,False,False,False
Tr-gl_0024.jpg,"(66.57, 50.81)",Glioma,True,False,False,False
Tr-gl_0025.jpg,"(2.23, 62.6)",Glioma,True,False,False,False
Tr-gl_0026.jpg,"(92.64, 51.05)",Glioma,True,False,False,False
Tr-gl_0027.jpg,"(55.42, 69.83)",Glioma,True,False,False,False
Tr-gl_0028.jpg,"(5.04, 45.4)",Glioma,True,False,False,False
Tr-gl_0029.jpg,"(62.67, 24.25)",Glioma,True,False,False,False
Tr-gl_0030.jpg,"(26.71, 42.16)",Glioma,True,False,False,False
Tr-gl_0031.jpg,"(45.23, 5.57)",Glioma,True,False,False,False
Tr-gl_0032.jpg,"(60.56, 38.15)",Glioma,True,False,False,False
Tr-gl_0033.jpg,"(73.92, 73.29)",Glioma,True,False,False,False
Tr-gl_0034.jpg,"(32.62, 15.17)",Glioma,True,False,False,False
Tr-gl_0035.jpg,"(54.23, 73.97)",Glioma,True,False,False,False
Tr-gl_0036.jpg,"(19.72, 90.6)",Glioma,True,False,False,False
Tr-gl_0037.jpg,"(43.99, 3.14)",Glioma,True,False,False,False
Tr-gl_0038.jpg,"(95.91, 20.2)",Glioma,True,False,False,False
Tr-gl_0039.jpg,"(28.74, 10.31)",Glioma,True,False,False,False
Tr-gl_0040.jpg,"(77.24, 84.32)",Glioma,True,False,False,False
Tr-gl_0041.jpg,"(33.01, 35.14)",Glioma,True,False,False,False
Tr-gl_0042.jpg,"(28.67, 2.55)",Glioma,True,False,False,False
Tr-gl_0043.jpg,"(83.01, 16.31)",Glioma,True,False,False,False
Tr-gl_0044.jpg,"(61.94, 27.99)",Glioma,True,False,False,False
Tr-gl_0045.jpg,"(32.16, 53.99)",Glioma,True,False,False,False
Tr-gl_0046.jpg,"(35.24, 32.01)",Glioma,True,False,False,False
Tr-gl_0047.jpg,"(96.47, 49.15)",Glioma,True,False,False,False
Tr-gl_0048.jpg,"(36.0, 84.4)",Glioma,True,False,False,False
Tr-gl_0049.jpg,"(29.18, 78.61)",Glioma,True,False,False,False
Tr-gl_0050.jpg,"(66.38, 19.39)",Glioma,True,False,False,False
Tr-gl_0051.jpg,"(94.71, 85.02)",Glioma,True,False,False,False
Tr-gl_0052.jpg,"(86.94, 51.35)",Glioma,True,False,False,False
Tr-gl_0053.jpg,"(20.7, 92.56)",Glioma,True,False,False,False
Tr-gl_0054.jpg,"(36.89, 14.0)",Glioma,True,False,False,False
Tr-gl_0055.jpg,"(12.83, 17.04)",Glioma,True,False,False,False
